timestamp,inflight
2026-09-19T13:59:24.3432783+09:00,0.0
2026-09-19T13:59:25.8582185+09:00,0.0
2026-09-19T13:59:26.1246406+09:00,0.0
2026-09-19T13:59:26.3761815+09:00,0.0
2026-09-19T13:59:26.6288652+09:00,0.0
2026-09-19T13:59:26.9209604+09:00,0.0
2026-09-19T13:59:27.2518408+09:00,0.0
2026-09-19T13:59:27.5754344+09:00,0.0
2026-09-19T13:59:27.9048122+09:00,0.0
2026-09-19T13:59:28.2322879+09:00,0.0
2026-09-19T13:59:28.5472543+09:00,0.0
2026-09-19T13:59:28.8567326+09:00,0.0
2026-09-19T13:59:29.1952611+09:00,0.0
2026-09-19T13:59:29.5084967+09:00,0.0
2026-09-19T13:59:29.8368252+09:00,0.0
2026-09-19T13:59:30.1427562+09:00,0.0
2026-09-19T13:59:30.4459384+09:00,0.0
2026-09-19T13:59:30.7594028+09:00,0.0
2026-09-19T13:59:31.0881575+09:00,0.0
2026-09-19T13:59:31.4036793+09:00,0.0
2026-09-19T13:59:31.7187188+09:00,0.0
2026-09-19T13:59:32.0480700+09:00,0.0
2026-09-19T13:59:32.3591607+09:00,0.0
2026-09-19T13:59:32.6551443+09:00,0.0
2026-09-19T13:59:32.9678152+09:00,0.0
2026-09-19T13:59:33.2622944+09:00,0.0
2026-09-19T13:59:33.5883066+09:00,0.0
2026-09-19T13:59:33.9171374+09:00,0.0
2026-09-19T13:59:34.2297378+09:00,0.0
2026-09-19T13:59:34.5396309+09:00,0.0
2026-09-19T13:59:34.8518285+09:00,0.0
2026-09-19T13:59:35.1638404+09:00,0.0
2026-09-19T13:59:35.4767133+09:00,0.0
2026-09-19T13:59:35.7735379+09:00,0.0
2026-09-19T13:59:36.0840986+09:00,0.0
2026-09-19T13:59:36.4142600+09:00,0.0
2026-09-19T13:59:36.7396816+09:00,0.0
2026-09-19T13:59:37.0798420+09:00,0.0
2026-09-19T13:59:37.3922555+09:00,0.0
2026-09-19T13:59:37.7047936+09:00,0.0
2026-09-19T13:59:38.0925834+09:00,0.0
2026-09-19T13:59:38.4958777+09:00,0.0
2026-09-19T13:59:39.0922003+09:00,240.0
2026-09-19T13:59:45.2926444+09:00,610.0
2026-09-19T13:59:51.5793322+09:00,899.0
2026-09-19T13:59:59.6827557+09:00,920.0
2026-09-19T14:00:06.8914795+09:00,567.0
2026-09-19T14:00:16.0940043+09:00,300.0
2026-09-19T14:00:22.6602168+09:00,60.0
2026-09-19T14:00:28.0425067+09:00,7.0
2026-09-19T14:00:29.6608814+09:00,0.0
2026-09-19T14:00:30.0468584+09:00,0.0
2026-09-19T14:00:30.3577349+09:00,0.0
2026-09-19T14:00:30.8533086+09:00,0.0
2026-09-19T14:00:31.2585069+09:00,0.0
2026-09-19T14:00:31.5517321+09:00,0.0
2026-09-19T14:00:31.8537816+09:00,0.0
2026-09-19T14:00:32.1427496+09:00,0.0
2026-09-19T14:00:32.4215074+09:00,0.0
2026-09-19T14:00:32.7028604+09:00,0.0
2026-09-19T14:00:32.9834746+09:00,0.0
2026-09-19T14:00:33.2642378+09:00,0.0
2026-09-19T14:00:33.5446253+09:00,0.0
2026-09-19T14:00:33.8263974+09:00,0.0
2026-09-19T14:00:34.1224563+09:00,0.0
